,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Kiryat Gat,75,IL,1579840925,71,31.61,34.76,52.16,18.34
96,Bengkulu,21,ID,1579841008,80,-3.8,102.27,83.53,6.64
97,Shakawe,93,BW,1579841120,77,-18.37,21.85,72.59,3.0
98,Anadyr,75,RU,1579841094,76,64.75,177.48,-5.4,8.95
99,Belmonte,75,BR,1579841011,88,-15.86,-38.88,75.2,5.82
100,Portland,90,US,1579840826,87,45.52,-122.68,50.97,11.41
101,Mayumba,97,GA,1579841015,74,-3.43,10.66,82.99,2.08
102,Soverato Marina,20,IT,1579841122,81,38.69,16.55,50.0,13.87
103,Tiksi,0,RU,1579841081,84,71.69,128.87,-31.32,5.68
104,Dingle,35,PH,1579841028,79,11.0,122.67,81.91,11.74
105,Maridi,89,SS,1579841123,20,4.92,29.47,67.37,7.67
106,Dunedin,94,NZ,1579840999,71,-45.87,170.5,67.53,25.14
107,Kamiiso,20,JP,1579841124,72,41.82,140.65,32.0,23.04
108,Goderich,61,CA,1579841099,90,43.75,-81.72,32.7,10.98
110,Zambezi,98,ZM,1579841125,89,-13.54,23.1,67.84,3.85
111,Poum,68,NC,1579841125,74,-20.23,164.02,79.75,16.73
112,Toyooka,75,JP,1579841126,76,35.53,134.83,51.53,5.82
113,Nanortalik,100,GL,1579840950,94,60.14,-45.24,29.19,12.53
114,University Park,90,US,1579841126,93,25.75,-80.37,65.39,3.36
116,Karabanovo,97,RU,1579841127,92,56.32,38.7,23.43,9.95
117,Buala,0,SB,1579841075,65,-8.14,159.59,86.0,10.0
118,Coyhaique,61,CL,1579840948,50,-45.58,-72.07,53.6,2.24
119,Lalmohan,28,BD,1579841128,26,22.34,90.74,75.33,5.77
120,Samarai,92,PG,1579840982,82,-10.62,150.67,82.06,4.0
121,Hornepayne,100,CA,1579841129,94,49.21,-84.77,5.81,7.0
122,Alofi,27,NU,1579841024,88,-19.06,-169.92,80.6,14.99
123,Menongue,100,AO,1579840967,92,-14.66,17.69,65.41,1.36
124,Ulaangom,69,MN,1579841130,88,49.98,92.07,0.99,1.23
125,Cabatuan,35,PH,1579841130,79,10.88,122.49,81.91,11.74
126,Carnarvon,0,AU,1579841010,55,-24.87,113.63,89.6,18.34
127,Salalah,75,OM,1579840921,73,17.02,54.09,77.0,1.12
130,Lar,27,IN,1579841132,50,26.2,83.97,63.45,10.85
131,Lata,20,PT,1579841132,93,40.16,-8.33,45.97,8.05
132,Haines Junction,99,CA,1579841133,98,60.75,-137.51,-1.71,4.81
133,Okhotsk,48,RU,1579841025,83,59.38,143.3,-20.11,5.59
134,Vila Franca do Campo,20,PT,1579841133,81,37.72,-25.43,53.6,9.17
135,Muhafazat Lahij,100,YE,1579841134,81,13.17,44.58,71.44,4.9
136,Sao Joao da Barra,100,BR,1579840924,96,-21.64,-41.05,72.34,1.99
137,Cap Malheureux,75,MU,1579841134,88,-19.98,57.61,77.81,4.7
138,Cocobeach,40,GA,1579841135,88,1.0,9.58,82.4,4.7
139,Chui,0,UY,1579841036,86,-33.7,-53.46,66.49,6.35
140,Saint-Joseph,98,RE,1579841136,88,-21.37,55.62,77.11,9.17
141,Bluff,95,NZ,1579841008,44,-46.6,168.33,81.16,8.21
142,Bhimunipatnam,27,IN,1579841136,69,17.88,83.43,77.0,2.24
143,Turiacu,99,BR,1579841137,92,-1.66,-45.37,76.37,2.53
144,Rio Grande,0,BR,1579840915,80,-32.03,-52.1,70.59,11.77
145,Vaini,20,TO,1579841004,70,-21.2,-175.2,84.2,9.17
146,Saint-Philippe,100,RE,1579841015,88,-21.36,55.77,77.11,9.17
147,Ponta do Sol,20,PT,1579840930,58,32.67,-17.1,53.74,5.82
148,San Ignacio,8,BZ,1579841138,94,17.16,-89.07,68.85,4.7
149,Mnogovershinnyy,100,RU,1579841139,97,53.94,139.92,-4.41,5.7
150,Sao Filipe,0,CV,1579841139,77,14.9,-24.5,70.68,12.26
151,Labuhan,18,ID,1579841139,69,-6.88,112.21,87.31,4.68
152,Tabuk,0,PH,1579841140,62,17.42,121.44,82.04,2.8
153,Lebu,18,CL,1579840918,83,-37.62,-73.65,54.46,5.88
154,Krasnomayskiy,100,RU,1579841140,94,57.62,34.41,30.24,11.72
155,Puerto Ayora,23,EC,1579841141,29,-0.74,-90.35,73.99,9.4
156,Nikolskoye,75,RU,1579840931,93,59.7,30.79,35.56,13.42
157,Bambous Virieux,75,MU,1579841141,88,-20.34,57.76,77.99,4.7
158,Lagoa,99,PT,1579841077,61,39.05,-27.98,56.64,7.14
159,Cabedelo,40,BR,1579841057,83,-6.98,-34.83,80.6,4.7
160,Auki,8,SB,1579841142,74,-8.77,160.7,84.88,10.31
161,Zhangye,10,CN,1579841143,25,38.93,100.45,34.11,4.36
162,Pano Aqil,45,PK,1579841143,81,27.86,69.11,51.8,5.37
163,Ryotsu,90,JP,1579841143,81,38.08,138.43,45.37,2.24
164,Mahebourg,75,MU,1579841073,88,-20.41,57.7,78.03,4.7
165,Grand-Santi,86,GF,1579841144,87,4.25,-54.38,68.77,3.67
166,Neuquen,0,AR,1579841114,29,-38.95,-68.06,77.0,4.7
167,Winslow,1,US,1579841014,74,35.02,-110.7,34.18,1.36
168,Port Elizabeth,20,ZA,1579841145,93,-33.92,25.57,64.4,11.41
169,Banda Aceh,46,ID,1579841146,50,5.56,95.32,90.14,8.7
170,Cherskiy,8,RU,1579841050,96,68.75,161.3,-39.73,1.66
171,Khatanga,100,RU,1579841019,88,71.97,102.5,-26.16,8.3
172,Yarada,17,IN,1579841147,69,17.65,83.27,77.0,2.24
174,Husavik,90,IS,1579840906,50,66.04,-17.34,30.2,35.57
175,East London,20,ZA,1579840855,93,-33.02,27.91,66.2,8.05
176,Vestmannaeyjar,100,IS,1579841024,70,63.44,-20.27,36.27,25.01
177,George Town,20,MY,1579840979,52,5.41,100.34,90.12,5.82
178,Oodweyne,100,SO,1579841149,48,9.41,45.06,71.74,1.59
179,Kampene,100,CD,1579841149,76,-3.6,26.67,75.34,0.72
180,Salamiyah,97,SY,1579841149,71,35.01,37.05,39.78,20.76
181,Coronado,20,US,1579840891,93,32.69,-117.18,54.81,9.17
182,Merauke,46,ID,1579841036,61,-8.47,140.33,87.37,9.22
183,Bilibino,12,RU,1579841151,99,68.05,166.44,-35.73,1.97
184,Muisne,86,EC,1579841151,90,0.6,-80.03,76.12,4.83
185,Luderitz,0,NA,1579841121,93,-26.65,15.16,62.6,2.24
186,Ilulissat,100,GL,1579841007,60,69.22,-51.1,10.4,12.75
187,Nar'yan-Mar,84,RU,1579841080,96,67.67,53.09,2.28,6.73
188,Henties Bay,0,NA,1579841152,94,-22.12,14.28,63.0,2.55
190,Yellowknife,90,CA,1579840844,84,62.46,-114.35,3.11,11.41
191,Durango,0,MX,1579840947,58,24.83,-104.83,46.15,1.19
192,Rockport,1,US,1579841155,87,28.02,-97.05,58.12,8.05
193,Nishihara,40,JP,1579841071,78,26.18,127.76,75.61,3.36
194,Ugoofaaru,56,MV,1579840931,79,5.67,73.0,83.14,23.87
196,Nabire,36,ID,1579841053,77,-3.37,135.48,83.16,4.38
197,Batagay-Alyta,0,RU,1579841156,65,67.8,130.41,-34.46,2.82
198,Onalaska,90,US,1579841157,100,43.88,-91.24,30.47,6.93
199,Rio Gallegos,54,AR,1579841157,70,-51.62,-69.22,44.6,12.75
200,Shingu,75,JP,1579840961,71,33.73,135.98,55.4,11.41
201,Arraial do Cabo,100,BR,1579841158,92,-22.97,-42.03,70.11,3.83
202,Beitbridge,29,ZW,1579841158,66,-22.22,30.0,76.12,18.61
203,Port Shepstone,24,ZA,1579841065,77,-30.74,30.45,71.04,9.78
204,Hong Kong,40,HK,1579840912,65,22.29,114.16,75.85,11.41
205,Petropavlovsk-Kamchatsky,0,RU,1579841159,40,53.05,158.65,14.0,2.24
206,Constitucion,63,CL,1579841033,78,-35.33,-72.42,57.56,1.07
207,Kavaratti,20,IN,1579841002,74,10.57,72.64,84.2,4.7
208,Imbituba,75,BR,1579841160,100,-28.24,-48.67,68.0,11.41
209,Moose Factory,90,CA,1579841161,84,51.26,-80.61,8.6,3.0
211,Opuwo,99,NA,1579841162,39,-18.06,13.84,71.11,3.98
212,Taree,66,AU,1579841162,65,-31.9,152.47,83.16,6.58
213,Alexander City,90,US,1579841162,100,32.94,-85.95,47.86,3.36
214,Xapuri,100,BR,1579841163,81,-10.65,-68.5,76.39,0.63
215,Kikwit,95,CD,1579841163,73,-5.04,18.82,74.23,0.25
216,Zhifang,40,CN,1579841163,93,30.35,114.32,44.6,6.71
217,Black Diamond,90,US,1579841164,100,47.31,-122.0,49.98,5.82
218,Buraidah,0,SA,1579840900,80,26.33,43.98,33.8,2.24
219,Havre-Saint-Pierre,75,CA,1579841043,68,50.23,-63.6,26.6,12.75
220,Goundi,60,TD,1579841165,18,9.36,17.37,58.44,4.7
221,Fare,0,PF,1579841165,74,-16.7,-151.02,83.12,10.74
222,Damghan,0,IR,1579841166,79,36.17,54.35,33.51,3.09
223,Adrar,100,MR,1579841166,22,20.5,-10.07,66.69,9.69
224,Gander,90,CA,1579841167,86,48.97,-54.59,28.2,18.34
225,Camacha,40,PT,1579841107,71,33.08,-16.33,57.2,11.41
227,Viedma,0,AR,1579841168,80,-40.81,-63.0,67.05,9.28
228,Hirado,75,JP,1579841168,72,33.36,129.55,59.92,9.17
229,Cayenne,29,GF,1579841168,94,4.93,-52.33,69.8,4.34
230,Praia,0,CV,1579841169,46,14.92,-23.51,73.4,9.17
231,Baruun-Urt,0,MN,1579841169,75,46.68,113.28,8.67,13.4
232,Kulunda,100,RU,1579841169,79,52.57,78.94,31.68,20.04
233,Hohhot,6,CN,1579841170,57,40.81,111.65,21.2,2.24
234,Irpa Irpa,75,BO,1579841170,55,-17.72,-66.27,66.2,9.17
235,Mountain Home,1,US,1579841170,100,43.13,-115.69,40.78,13.87
236,Wasilla,20,US,1579841171,83,61.58,-149.44,-0.78,4.7
237,Gaiceana,0,RO,1579841171,85,46.33,27.22,21.13,4.7
238,Aklavik,90,CA,1579840925,76,68.22,-135.01,-5.8,8.05
239,Touros,75,BR,1579841172,94,-5.2,-35.46,77.0,2.24
240,Lompoc,1,US,1579841052,93,34.64,-120.46,53.04,10.36
241,Fukuecho,75,JP,1579841173,67,32.69,128.84,60.01,12.75
243,Bollnaes,52,SE,1579841173,81,61.35,16.39,32.47,3.18
245,Esim,19,GH,1579841174,95,4.87,-2.24,77.02,1.97
246,Leningradskiy,0,RU,1579841038,86,69.38,178.42,-26.93,2.93
249,Virginia Beach,1,US,1579841067,93,36.85,-75.98,41.23,10.29
250,Kyra,0,RU,1579841176,74,49.58,111.98,3.74,2.66
251,Nizwa,4,OM,1579841176,56,22.93,57.53,62.65,3.71
252,Shelburne,90,CA,1579840877,85,44.08,-80.2,30.33,11.41
253,Mar del Plata,53,AR,1579841027,83,-38.0,-57.56,72.32,8.05
254,Aleksandrovsk-Sakhalinskiy,100,RU,1579841177,93,50.9,142.16,7.0,15.97
255,Villazon,28,BO,1579841020,80,-22.09,-65.59,50.94,7.87
256,Ankazoabo,42,MG,1579841178,58,-22.28,44.52,80.19,3.18
257,Aswan,0,EG,1579841004,56,24.09,32.91,49.68,8.01
258,Grindavik,75,IS,1579841087,67,63.84,-22.43,32.76,27.51
259,Katsuura,75,JP,1579840969,76,35.13,140.3,54.73,2.24
260,Chumikan,100,RU,1579841179,83,54.72,135.31,-3.42,8.93
261,Waddan,0,LY,1579841180,53,29.16,16.14,48.56,6.53
262,Ayacucho,87,PE,1579841034,91,-13.16,-74.22,44.35,2.24
263,Ruwi,40,OM,1579841180,53,23.6,58.55,73.4,9.17
264,Krasnopavlivka,12,UA,1579841181,67,49.14,36.33,25.54,8.19
265,Agirish,48,RU,1579841063,92,61.92,63.02,4.69,6.58
266,Les Cayes,17,HT,1579841181,73,18.2,-73.75,76.17,8.23
267,Mayahi,0,NE,1579841182,15,13.96,7.67,61.99,15.12
268,Saldanha,0,ZA,1579841052,88,-33.01,17.94,64.4,5.82
269,Rawson,100,AR,1579841109,48,-43.3,-65.1,64.44,21.74
270,Kieta,84,PG,1579841183,71,-6.22,155.63,84.25,3.87
271,Yulara,0,AU,1579841009,20,-25.24,130.99,93.2,12.75
272,Tezu,93,IN,1579841184,47,27.92,96.17,63.61,4.36
273,Goure,0,NE,1579841184,21,13.98,10.27,62.01,7.0
274,Yambio,83,SS,1579841184,20,4.57,28.4,67.1,8.7
275,Sirjan,0,IR,1579841185,73,29.45,55.68,42.31,8.21
276,Alghero,0,IT,1579841185,93,40.56,8.32,47.55,3.36
277,Beringovskiy,100,RU,1579841052,96,63.05,179.32,-1.21,8.55
278,Calabar,66,NG,1579841186,77,4.95,8.32,74.23,2.17
279,Carora,79,VE,1579841186,88,10.18,-70.08,69.98,1.92
280,Codrington,100,AU,1579841186,77,-38.27,141.97,63.43,23.51
281,Coquimbo,100,CL,1579841054,63,-29.95,-71.34,66.2,2.24
282,Laguna,90,US,1579841082,93,38.42,-121.42,51.4,6.93
283,Pacific Grove,1,US,1579841172,81,36.62,-121.92,53.22,4.7
284,Yenagoa,79,NG,1579841188,97,4.92,6.26,72.61,3.62
285,Taksimo,46,RU,1579840960,90,56.34,114.88,-11.18,2.35
286,Esperance,90,AU,1579841045,64,-33.87,121.9,73.4,11.41
287,Grand Falls,75,CA,1579841189,79,47.05,-67.74,27.59,3.83
288,Jadu,0,LY,1579841189,35,31.95,12.03,52.72,15.46
289,Guerrero Negro,0,MX,1579841190,70,27.98,-114.06,62.15,5.61
290,Mattru,62,SL,1579841115,89,7.62,-11.83,73.38,2.57
291,Zihuatanejo,97,MX,1579840975,69,17.63,-101.55,79.57,6.33
292,Isangel,75,VU,1579840899,62,-19.55,169.27,86.0,13.87
293,Kodiak,75,US,1579841034,57,57.79,-152.41,17.6,17.22
294,Pevek,95,RU,1579841061,99,69.7,170.31,-28.8,6.91
295,Puerto Carreno,53,CO,1579841193,58,6.19,-67.49,81.09,4.79
296,Huntingdon,90,GB,1579840898,100,52.33,-0.19,41.97,5.82
297,Fortuna,90,US,1579840877,71,40.6,-124.16,55.44,8.05
298,Aksu,0,CN,1579841194,56,41.12,80.26,29.03,2.3
299,Somogyvar,90,HU,1579841195,100,46.58,17.66,28.4,5.82
300,Mahon,7,ES,1579841195,93,39.89,4.27,51.8,4.7
301,Sovetskiy,58,RU,1579841195,93,61.36,63.58,4.95,4.83
302,Kondoa,98,TZ,1579841196,86,-4.9,35.78,68.5,4.25
303,Cam Ranh,86,VN,1579841124,62,11.92,109.16,87.8,11.41
304,Makakilo City,1,US,1579841082,57,21.35,-158.09,75.0,4.7
305,Bintulu,75,MY,1579841197,83,3.17,113.03,82.26,4.7
306,Pangnirtung,100,CA,1579841067,99,66.15,-65.71,-33.59,3.78
307,Maceio,100,BR,1579840945,83,-9.67,-35.74,77.0,4.7
308,Narsaq,100,GL,1579840968,85,60.92,-46.05,24.8,10.29
309,Coolum Beach,93,AU,1579841198,79,-26.53,153.1,85.01,1.01
310,Gravdal,40,NO,1579841198,64,68.12,13.5,33.8,8.05
311,Tiarei,40,PF,1579841199,70,-17.53,-149.33,83.14,9.17
312,Jiwani,0,PK,1579841199,60,25.05,61.74,70.95,7.25
313,Jumla,0,NP,1579841200,95,29.27,82.18,55.99,1.01
314,Nhulunbuy,75,AU,1579841073,74,-12.23,136.77,87.8,10.29
315,Olavarria,4,AR,1579841187,80,-36.89,-60.32,75.0,1.01
316,Halifax,75,CA,1579841201,100,44.65,-63.57,29.01,8.05
317,Jiutai,0,CN,1579841201,33,44.15,125.83,14.0,5.06
318,Verkhoyansk,46,RU,1579840997,91,67.54,133.38,-42.41,2.06
319,Chitungwiza,40,ZW,1579841202,93,-18.01,31.08,60.8,5.23
321,Iqaluit,5,CA,1579841076,67,63.75,-68.51,-27.2,19.46
322,Store Heddinge,100,DK,1579841203,93,55.31,12.39,42.12,12.75
323,Dolores,6,AR,1579841074,84,-36.31,-57.68,68.77,9.48
324,Monrovia,20,LR,1579841118,94,6.3,-10.8,77.0,5.14
325,Tual,5,ID,1579841204,76,-5.67,132.75,83.8,13.8
326,Mersa Matruh,1,EG,1579841204,62,31.35,27.25,58.33,23.38
327,Katherine,75,AU,1579841204,47,-14.47,132.27,95.0,8.05
328,Talnakh,40,RU,1579840961,77,69.49,88.4,5.0,20.13
329,Tornio,64,FI,1579841205,92,65.85,24.13,28.4,4.7
330,Jiuquan,2,CN,1579841205,41,39.74,98.52,23.14,3.11
331,Vila,44,PT,1579841013,75,42.03,-8.16,46.49,4.7
332,Dormidontovka,56,RU,1579841206,78,47.77,134.91,-0.04,15.99
333,Kargasok,76,RU,1579841207,82,59.06,80.86,25.32,13.24
334,Kotagiri,40,IN,1579841207,73,11.43,76.88,75.2,6.93
335,Araguari,92,BR,1579841207,97,-18.65,-48.19,68.32,6.64
336,Hostotipaquillo,55,MX,1579841208,88,21.07,-104.07,55.24,1.63
337,Clyde River,90,CA,1579841208,75,70.47,-68.59,-14.8,23.04
338,Shulan,0,CN,1579841208,82,44.42,126.95,4.64,6.35
339,Lokosovo,100,RU,1579841209,90,61.13,74.82,20.62,11.99
340,Hailey,5,US,1579841022,86,43.52,-114.32,23.52,8.05
342,Najran,40,SA,1579841210,66,17.49,44.13,48.2,6.93
343,Bulungu,39,CD,1579841210,74,-4.55,18.6,74.32,0.63
344,South Lake Tahoe,90,US,1579841210,75,38.93,-119.98,39.96,4.7
345,Floro,73,NO,1579841211,75,61.6,5.03,39.27,18.34
347,Benjamin Hill,0,MX,1579841165,71,30.17,-111.1,57.0,3.0
348,Comodoro Rivadavia,47,AR,1579840950,39,-45.87,-67.5,62.6,18.34
349,Dunmore Town,0,BS,1579841212,78,25.5,-76.65,71.74,18.19
350,Maracacume,100,BR,1579841213,98,-2.04,-45.96,73.31,1.77
351,Kota Tinggi,40,MY,1579841213,66,1.74,103.9,87.48,10.29
352,Bilma,24,NE,1579840997,17,18.69,12.92,56.84,8.9
353,Rocha,0,UY,1579841014,96,-34.48,-54.33,61.63,6.4
354,Port Lincoln,26,AU,1579840940,50,-34.73,135.87,73.65,13.44
355,Visby,100,SE,1579841214,87,57.64,18.3,43.56,13.87
356,Guilin,90,CN,1579841100,87,25.28,110.29,50.0,2.24
358,Calama,75,CL,1579841215,77,-22.47,-68.93,59.0,12.75
359,Leer,7,SS,1579841216,13,8.3,30.14,67.46,11.68
360,Umarga,4,IN,1579841216,32,17.83,76.62,81.0,7.74
361,Kupang,40,ID,1579841216,89,-10.17,123.58,84.2,11.41
362,Veraval,36,IN,1579841217,28,20.9,70.37,83.43,9.42
363,Inhambane,96,MZ,1579841040,73,-23.86,35.38,78.31,14.34
364,Waingapu,28,ID,1579841217,69,-9.66,120.26,84.22,7.47
365,Saint-Augustin,74,CA,1579840983,74,51.23,-58.65,20.19,20.02
366,Cidreira,36,BR,1579841050,74,-30.18,-50.21,73.83,17.36
367,Belyy Yar,100,RU,1579841218,68,53.6,91.39,26.6,6.71
368,Rengo,100,CL,1579841219,64,-34.42,-70.87,69.8,3.36
369,Fort-Shevchenko,91,KZ,1579841219,75,44.51,50.26,30.18,21.23
370,Bethel,5,US,1579841017,79,41.37,-73.41,31.21,1.19
371,Mahon,7,ES,1579841195,93,39.89,4.27,51.8,4.7
372,Jalu,2,LY,1579841220,86,29.03,21.55,49.19,6.91
373,San Andres,40,CO,1579841221,69,12.58,-81.7,78.8,6.93
374,Ciudad Lazaro Cardenas,97,MX,1579841221,80,17.96,-102.2,73.47,2.71
375,Znamenskoye,100,RU,1579841221,91,57.13,73.83,18.05,6.89
376,Cacapava,75,BR,1579841168,93,-23.1,-45.71,66.2,2.24
377,Arlit,50,NE,1579841222,17,18.74,7.39,61.47,5.61
378,Rexburg,90,US,1579841222,100,43.83,-111.79,28.44,3.36
379,Gornopravdinsk,100,RU,1579841223,92,60.05,69.9,15.94,9.69
380,Provideniya,90,RU,1579840928,70,64.38,-173.3,-0.4,4.47
381,Pandan,99,PH,1579841052,83,14.05,124.17,80.31,18.03
382,Novonukutskiy,70,RU,1579841224,83,53.7,102.71,12.15,6.82
383,Kruisfontein,0,ZA,1579840948,71,-34.0,24.73,68.27,9.28
384,Balod,72,IN,1579841225,27,20.73,81.2,81.28,3.91
385,Mossamedes,98,AO,1579841063,76,-15.2,12.15,74.05,7.43
386,Omsukchan,90,RU,1579841121,100,62.53,155.8,-39.37,4.32
387,Broome,1,US,1579841023,63,42.25,-75.83,27.12,4.7
388,Sinnamary,60,GF,1579841025,79,5.38,-52.95,78.33,13.8
389,Diffa,0,NE,1579841226,33,13.32,12.61,60.78,11.7
391,Souillac,75,MU,1579841021,88,-20.52,57.52,78.04,4.7
392,Makrinitsa,20,GR,1579841227,80,39.4,22.98,36.23,6.93
393,Basco,52,PH,1579841228,75,20.45,121.97,77.9,19.71
394,Healdsburg,1,US,1579841228,100,38.61,-122.87,49.48,3.36
395,Leh,5,IN,1579841228,58,34.17,77.58,-5.57,2.26
397,Yucca Valley,40,US,1579841042,37,34.11,-116.43,52.52,10.29
398,Saint-Pierre,98,RE,1579841005,88,-21.34,55.48,77.2,9.17
399,Nagorsk,100,RU,1579841230,92,59.32,50.81,13.14,8.61
400,Ila,75,NO,1579841230,68,63.43,10.37,34.09,32.21
401,Ilo,98,PE,1579841230,92,-17.64,-71.34,71.37,5.7
402,Mudgee,75,AU,1579841231,58,-32.59,149.59,85.35,9.17
403,Gemeente Wageningen,90,NL,1579841231,100,51.97,5.67,35.26,8.05
404,Zhigansk,18,RU,1579841232,96,66.77,123.37,-37.62,6.96
